chunk,sweep,mean_count,std_count,mean_time,std_time
1,1,1034.85,100.00513736803725,3.438965541959624,1.1958486409696634
1,2,980.0,89.24572818908477,3.0465241632977267,0.7685370915460775
1,4,964.7,86.79752300613193,3.2188434772600885,0.9225330372319133
1,6,962.35,84.22189442181885,3.552663216099609,1.0205438261166653
1,8,959.65,84.93543135817939,3.8501618172973395,1.048726958030283
1,10,959.25,83.94693264199711,4.3036633341893324,1.1190367694013397
5,1,982.7,95.28908646849332,2.0585672539978987,0.7967273695378927
5,2,950.4,84.45791851567265,2.159554901707452,0.8123508768900696
5,4,940.25,80.19530846626877,2.4582304693001786,0.9110837222659721
5,6,938.05,79.95028142539586,2.5451690546033205,0.9696603470672605
5,8,937.75,80.5585966858907,2.6279956733458674,0.8192883059632143
5,10,935.65,79.46588890838635,2.725359631946776,0.8564581361396544
10,1,969.15,92.77514483955281,2.166140354151139,0.8206622352821287
10,2,941.05,82.45027289221062,3.0168743693531725,0.9236646402039881
10,4,931.3,78.28096831286643,2.80668346604798,0.8793366362897964
10,6,931.5,77.4657989050652,3.320769268460572,1.0658651307252636
10,8,929.3,77.8659745973811,3.5683896470436594,0.9551131213997183
10,10,929.4,76.63054221392407,3.740064257598715,1.152503475616824
25,1,952.3,88.6098752961542,2.4904023625625995,0.9160770355016203
25,2,930.95,79.97716861704971,2.6889704625471493,0.8320519518851749
25,4,923.9,76.78600132836713,3.254014103949885,0.9367604926442074
25,6,923.2,75.93128472507232,4.419460325239925,1.0647074395994542
25,8,924.15,74.8580489994229,5.294679258100222,1.2204749958058665
25,10,923.15,75.3141918897096,5.634571048809448,1.1562513859508872
50,1,941.3,85.52198547741978,2.595818078049342,0.8542460797031025
50,2,925.1,77.0596522182653,3.4253596971509976,0.9285236494127761
50,4,921.8,74.33007466698793,4.890731658940785,0.8110657931649973
50,6,919.1,73.00335608723752,5.927598869954818,1.5240981578574784
50,8,921.05,74.50937860430726,7.116664092289284,1.313792886696714
50,10,920.6,74.1541637401434,8.150665044449852,1.5079457010990471
100,1,934.4,81.64459565703048,3.4534125168953325,0.9993755725489265
100,2,921.55,75.55823912717923,4.868557181599317,1.1850793135964806
100,4,917.95,72.59715903532313,7.075548392353812,1.5334533591960167
100,6,917.65,72.76212957301345,9.265283523747348,1.6268563802418874
100,8,918.3,72.22541104071337,11.668016933451872,2.4042602692821204
100,10,918.1,70.82365424065607,13.370519582502311,2.676413525295864
200,1,927.2,78.57773221466753,4.834411824896233,0.8196855962016334
200,2,919.1,72.4368000397588,6.960888269401039,1.590881290977689
200,4,917.8,72.60895261605141,11.099347359698731,2.1235998417678648
200,6,915.1,72.51958356195932,16.436729457392357,3.4171101766294916
200,8,917.05,72.0343494452473,21.416040720505407,3.8035788103011834
200,10,917.6,72.32039822899208,25.66332309585414,5.391133663211407
500,1,920.3,74.98539857865663,8.434356198195019,1.8624360085742144
500,2,915.55,71.93641289361042,14.233960963544087,2.7823506590771707
500,4,915.6,71.95165043277325,26.194880144510535,5.220040224265812
500,6,915.0,71.89436695597229,38.39510634419567,7.626057509094592
500,8,916.6,71.2708916739506,50.34484923425189,10.01105008848465
500,10,914.65,71.3836640976071,62.37932551434496,12.688254528751731
