Levels_List_Python,AllPairsPy_Count,AllPairsPy_Time,NWisePy_Count,NWisePy_Time,TestFlows_Count,TestFlows_Time,ACTS_Count,ACTS_Time,Jenny_Count,Jenny_Time,PICT_Count,PICT_Time,QuadCA_Count,sum_levels
"[7, 9, 3, 17, 8, 4, 24, 28, 24, 30, 29, 6, 27, 16, 21, 26, 11, 27, 13, 6, 23, 10, 15, 23, 23, 15, 6, 2, 20, 28]",1349,37.41756767401239,1782,19.45488487597322,1345,16.004683390958235,1077,0.4364147760206833,1167,5.310327463026624,1166,1.4945282080443576,1006,501
"[19, 13, 12, 9, 20, 22, 2, 22, 29, 3, 11, 11, 10, 20, 13, 26, 16, 14, 10, 16, 21, 12, 4, 3, 3, 9, 12, 3, 23, 5]",944,17.78746882401174,1136,5.96019518194953,961,7.924781358044129,789,0.3491307649528608,882,2.016979296982754,862,0.7106173959909938,763,393
"[26, 13, 21, 2, 3, 22, 23, 15, 29, 13, 9, 10, 26, 29, 7, 3, 25, 7, 2, 18, 17, 28, 24, 12, 16, 7, 17, 7, 16, 28]",1290,34.20177435403457,1588,12.3652751360205,1276,14.450464939000083,1011,0.4058525739819743,1113,4.359151646029204,1128,1.3009864530176856,953,475
"[10, 28, 29, 6, 13, 28, 19, 21, 19, 25, 4, 14, 28, 6, 20, 24, 15, 6, 20, 14, 13, 28, 25, 6, 2, 7, 9, 12, 13, 26]",1253,32.592955588013865,1629,12.71867700299481,1285,13.782410711981356,1002,0.4048244039877318,1119,4.774217291967943,1126,1.378019800002221,965,490
"[29, 26, 20, 16, 16, 27, 5, 13, 12, 12, 10, 30, 27, 2, 19, 17, 8, 23, 28, 6, 16, 30, 8, 17, 10, 15, 9, 17, 4, 10]",1356,32.96317171800183,1329,15.84631078800885,1270,13.481255377002526,1042,0.4423105209716595,1150,4.334572874009609,1165,1.3800140410312451,988,482
"[23, 25, 2, 29, 13, 9, 10, 14, 6, 9, 3, 2, 20, 28, 30, 15, 30, 4, 13, 25, 3, 25, 17, 6, 9, 7, 14, 4, 9, 19]",1213,27.3763179940288,1355,11.351647296978626,1183,11.52509473497048,987,0.3841988799977116,1131,2.856168412952684,1090,1.01115433301311,968,423
"[21, 28, 22, 18, 3, 5, 7, 11, 23, 18, 13, 5, 27, 24, 9, 4, 17, 4, 19, 26, 14, 3, 12, 19, 3, 6, 26, 6, 26, 10]",1133,27.123415031004697,1213,11.985860660963226,1144,10.74245305696968,885,0.4117681419593282,983,3.039134002989158,1006,0.966932056006044,846,429
"[18, 5, 12, 30, 6, 28, 30, 18, 5, 14, 10, 9, 23, 29, 4, 4, 24, 19, 25, 8, 23, 18, 19, 16, 29, 16, 28, 18, 9, 5]",1359,41.29793201299617,1780,17.234589405998122,1372,16.612719127035234,1080,0.4289060410228558,1204,5.307643290027045,1179,1.5517008090391755,1037,502
"[21, 16, 21, 13, 19, 17, 25, 11, 26, 9, 13, 23, 23, 13, 25, 13, 15, 12, 13, 2, 18, 15, 13, 14, 28, 14, 23, 24, 29, 24]",1289,45.2090392470127,1507,13.96649503899971,1291,16.189395978988614,947,0.422287043009419,1059,5.889176660974044,1071,1.5418829600093886,891,532
"[15, 19, 8, 3, 22, 12, 10, 14, 4, 28, 5, 15, 28, 2, 11, 30, 3, 16, 2, 2, 7, 18, 26, 10, 16, 9, 10, 28, 23, 24]",1168,32.8117689070059,1482,9.718690306995995,1187,12.134696936991531,934,0.4061487229773775,1077,2.803303735970985,1072,1.0196305110002868,921,420
"[17, 15, 13, 16, 7, 17, 21, 15, 16, 27, 12, 7, 18, 16, 12, 20, 15, 6, 20, 5, 3, 20, 8, 27, 23, 10, 23, 12, 7, 13]",989,22.59655144700082,1148,7.829430867044721,1018,9.678869728988502,760,0.367208190029487,871,2.920639661955647,878,0.8984460050123744,741,441
"[14, 28, 12, 4, 19, 9, 16, 15, 16, 21, 22, 30, 20, 12, 8, 19, 9, 16, 29, 4, 24, 15, 5, 22, 4, 9, 5, 6, 23, 24]",1139,26.170374263019767,1371,10.354738509980962,1193,12.389747207984328,915,0.4063012389815412,1064,3.683189267991111,1023,1.119303812040016,916,460
"[11, 6, 10, 15, 7, 12, 21, 3, 18, 15, 22, 20, 23, 29, 2, 2, 16, 9, 30, 2, 30, 25, 8, 15, 12, 27, 13, 22, 23, 19]",1204,33.69632444303716,1584,14.386336958035828,1264,14.856906961998902,970,0.4020140750217251,1132,3.8649132680147886,1125,1.265839561005123,962,467
"[23, 28, 21, 19, 17, 6, 16, 3, 27, 16, 27, 8, 26, 15, 20, 29, 4, 16, 30, 24, 20, 12, 26, 26, 24, 15, 28, 3, 15, 15]",1385,42.24762254703092,1574,18.782020541024394,1436,18.71702484600246,1105,0.4629914360120892,1198,7.505934946006164,1234,1.9288581819855608,1035,559
"[27, 11, 28, 27, 21, 9, 8, 10, 23, 30, 9, 19, 14, 15, 4, 26, 25, 10, 15, 22, 24, 25, 11, 29, 10, 11, 27, 14, 10, 24]",1353,39.96739318000618,1740,16.58474473102251,1405,17.997036987973843,1091,0.5347933230223134,1178,6.499956270039547,1200,1.753692400001455,1011,538
"[18, 19, 4, 11, 8, 9, 28, 19, 10, 24, 25, 2, 23, 14, 11, 4, 19, 2, 28, 15, 15, 28, 4, 26, 19, 3, 12, 21, 27, 28]",1278,35.80945369100664,1602,13.205297732027248,1318,14.709338449989446,987,0.4143757209531031,1096,4.4860793449915946,1134,1.3326732919667847,941,476
